##5995		
20:00-21:00		mcmc
'm	be	vbm
on	on	ii
the	the	at
correct	correct	jj
side	side	nn1
,	,	y
not	not	xx
the	the	at
right	right	jj
side	side	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
you	you	ppy
might	might	vm
be	be	vbi
on	on	ii
the	the	at
correct	correct	jj
side	side	nn1
,	,	y
but	but	ccb
you	you	ppy
're	be	vbr
certainly	certainly	rr
not	not	xx
on	on	ii
the	the	at
side	side	nn1
of	of	io
most	most	dat
Americans	american	nn2
.	.	y
According	according	ii21
to	to	ii22
the	the	at
polls	poll	nn2
,	,	y
three-quarters	three-quarters	mf
of	of	io
Americans	american	nn2
,	,	y
three-quarters	three-quarters	mf
,	,	y
75	75	mc
percent	percent	nnu
,	,	y
all	all	rr21
right	right	rr22
?	?	y
@!MORONES		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
so	so	rr
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
believe	believe	vvi
that	that	dd1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
these	these	dd2
are	be	vbr
what	what	ddq
the	the	at
polls	poll	nn2
say	say	vv0
,	,	y
Enrique	enrique	np1
.	.	y
It	it	pph1
's	be	vbz
not	not	xx
the	the	at
guys	guy	nn2
you	you	ppy
hang	hang	vv0
out	out	rp
with	with	iw
.	.	y
@!MORONES		zzq
:	:	y
I	i	ppis1
do	do	vd0
.	.	y
And	and	cc
they	they	pphs2
want	want	vv0
a	a	at1
humane	humane	jj
treatment	treatment	nn1
for	for	if
these	these	dd2
people	people	nn
.	.	y
They	they	pphs2
want	want	vv0
a	a	at1
humane	humane	jj
treatment	treatment	nn1
for	for	if
the	the	at
people	people	nn
.	.	y
You	you	ppy
've	have	vh0
seen	see	vvn
-	-	-
we	we	ppis2
had	have	vhd
a	a	at1
big	big	jj
--		nn1
there	there	ex_rl
was	be	vbdz
a	a	at1
huge	huge	jj
rally	rally	nn1
for	for	if
the	the	at
Minutemen	minuteman	nn2_np1
in	in	ii
San	san	np1
Diego	diego	np1
.	.	y
12	12	mc
people	people	nn
.	.	y
That	that	dd1
's	be	vbz
huge	huge	jj
for	for	if
the	the	at
Minutemen	minuteman	nn2_np1
.	.	y
We	we	ppis2
had	have	vhd
a	a	at1
huge	huge	jj
rally	rally	nn1
in	in	ii
L.A.	la	np1
We	we	ppis2
had	have	vhd
a	a	at1
half	half	db
million	million	m1
people	people	nn
.	.	y
O'REILLY	o'reilly	np1
:	:	y
You	you	ppy
turned	turn	vvd
them	them	ppho2
out	out	rp
.	.	y
You	you	ppy
turned	turn	vvd
-	-	-
that	that	dd1
's	be	vbz
why	why	rrq
I	i	ppis1
said	say	vvd
it	it	pph1
looks	look	vvz
like	like	cs@
there	there	ex
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
And	and	cc
(	(	y
INAUDBILE	inaudbile	np1
)		np1
across	across	ii
the	the	at
country	country	nn1
,	,	y
we	we	ppis2
'll	will	vm
continue	continue	vvi
to	to	to
do	do	vdi
it	it	pph1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
60	60	mc
percent	percent	nnu
of	of	io
Americans	american	nn2
do	do	vd0
not	not	xx
want	want	vvi
legalization	legalization	nn1
.	.	y
And	and	cc
you	you	ppy
want	want	vv0
to	to	to
guarantee	guarantee	vvi
legalization	legalization	nn1
.	.	y
So	so	rr
you	you	ppy
're	be	vbr
on	on	ii
the	the	at
downside	downside	nn1
of	of	io
that	that	dd1
.	.	y
@!MORONES		zzq
:	:	y
Under	under	rg@_ii
certain	certain	jj
conditions	condition	nn2
,	,	y
yes	yes	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
.	.	y
@!MORONES		zzq
:	:	y
And	and	cc
I	i	ppis1
think	think	vv0
that	that	cst
if	if	cs
they	they	pphs2
knew	know	vvd
those	those	dd2
conditions	condition	nn2
,	,	y
they	they	pphs2
would	would	vm
agree	agree	vvi
with	with	iw
me	me	ppio1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
agree	agree	vvi
with	with	iw
you	you	ppy
and	and	cc
I	i	ppis1
know	know	vv0
them	them	ppho2
.	.	y
@!MORONES		zzq
:	:	y
(	(	y
INAUDIBLE	inaudible	jj
)		np1
Native	native	jj
American	american	jj_nn1@
.	.	y
O'REILLY	o'reilly	np1
:	:	y
And	and	cc
I	i	ppis1
'm	be	vbm
the	the	at
most	most	rgt
humane	humane	jj
guy	guy	nn1
all	all	db
day	day	nnt1
long	long	rr_jj
.	.	y
I	i	ppis1
know	know	vv0
them	them	ppho2
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
agree	agree	vvi
with	with	iw
you	you	ppy
.	.	y
I	i	ppis1
think	think	vv0
that	that	cst
they	they	pphs2
have	have	vh0
to	to	to
earn	earn	vvi
citizenship	citizenship	nn1
,	,	y
no	no	at
pathway	pathway	nn1
.	.	y
You	you	ppy
get	get	vv0
in	in	ii_rp@
line	line	nn1
.	.	y
You	you	ppy
get	get	vv0
in	in	ii_rp@
line	line	nn1
.	.	y
@!MORONES		zzq
:	:	y
Yes	yes	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
You	you	ppy
get	get	vv0
in	in	ii_rp@
line	line	nn1
.	.	y
And	and	cc
if	if	cs_csw@
the	the	at
authorities	authority	nn2
deem	deem	vv0
that	that	cst
you	you	ppy
should	should	vm
get	get	vvi
citizenship	citizenship	nn1
,	,	y
you	you	ppy
do	do	vd0
.	.	y
But	but	ccb
no	no	at
pathway	pathway	nn1
,	,	y
no	no	at_uh
guarantee	guarantee	nn1
.	.	y
This	this	dd1
is	be	vbz
bologna	bologna	nn1
.	.	y
@!MORONES		zzq
:	:	y
No	no	uh
,	,	y
they	they	pphs2
should	should	vm
earn	earn	vvi
it	it	pph1
,	,	y
I	i	ppis1
agree	agree	vv0
.	.	y
O'REILLY	o'reilly	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
within	within	ii
Enrique	enrique	np1
,	,	y
because	because	cs
Enrique	enrique	np1
thinks	think	vvz
there	there	ex
's	be	vbz
a	a	at1
racial	racial	jj
element	element	nn1
to	to	ii
this	this	dd1
.	.	y
We	we	ppis2
'll	will	vm
get	get	vvi
into	into	ii
that	that	dd1
when	when	cs
we	we	ppis2
come	come	vv0
back	back	rp
.	.	y
And	and	cc
later	later	rrr_jjr
,	,	y
another	another	dd1
demonstration	demonstration	nn1
.	.	y
This	this	dd1
one	one	pn1
in	in	ii
San	san	np1
Francisco	francisco	np1
.	.	y
The	the	at
evangelists	evangelist	nn2
versus	versus	ii
the	the	at
hedonists	hedonist	nn2
or	or	cc
something	something	pn1
like	like	ii
that	that	dd1
,	,	y
coming	come	vvg
right	right	rr_nn1
up	up	rp
.	.	y
@(COMMERCIAL-BREAK)		zzc
@(NEWSBREAK)		zzc
@(BEGIN-VIDEO-CLIP)		zzc
@!MORONES		zzq
:	:	y
They	they	pphs2
're	be	vbr
here	here	rl
to	to	to
take	take	vvi
care	care	nn1
of	of	io
our	our	appge
kids	kid	nn2
,	,	y
to	to	to
build	build	vvi
our	our	appge
houses	house	nn2
.	.	y
These	these	dd2
are	be	vbr
productive	productive	jj
members	member	nn2
of	of	io
society	society	nn1
.	.	y
We	we	ppis2
need	need	vv0
to	to	to
treat	treat	vvi
them	them	ppho2
in	in	ii_rp@
a	a	at1
dignified	dignified	jj
matter	matter	nn1
.	.	y
And	and	cc
instead	instead	ii21_cs21%
of	of	ii22_cs22
these	these	dd2
weapons	weapon	nn2
of	of	io
mass	mass	jj_nn1
deception	deception	nn1
,	,	y
let	let	vm21
's	be	vm22
tell	tell	vvi
--		zz
call	call	nn1_vv0
it	it	pph1
like	like	ii
it	it	pph1
really	really	rr
is	be	vbz
.	.	y
These	these	dd2
are	be	vbr
racist	racist	jj
laws	law	nn2
.	.	y
There	there	ex
's	be	vbz
vigilantes	vigilante	nn2
on	on	ii
the	the	at
border	border	nn1
.	.	y
@(END-VIDEO-CLIP)		zzc
O'REILLY	o'reilly	np1_rr
:	:	y
All	all	rr21
right	right	rr22
.	.	y
Continuing	continue	vvg_jj
now	now	rt
with	with	iw
Enrique	enrique	np1
Morones	morones	np1_vvz
,	,	y
founder	founder	nn1
of	of	io
the	the	at
Border	border	nn1
Angels	angel	nn2
.	.	y
What	what	ddq
was	be	vbdz
the	the	at
racist	racist	jj_nn1
element	element	nn1
here	here	rl
,	,	y
as	as	cs31
far	far	cs32
as	as	cs33
you	you	ppy
're	be	vbr
concerned	concerned	jj
?	?	y
@!MORONES		zzq
:	:	y
Well	well	rr
,	,	y
there	there	ex
's	be	vbz
a	a	at1
tremendous	tremendous	jj
amount	amount	nn1
of	of	io
racism	racism	nn1
in	in	ii
this	this	dd1
legislation	legislation	nn1
.	.	y
The	the	at
racial	racial	jj
profiling	profiling	nn1@_vvg
that	that	cst_dd1
's	be	vbz
going	go	vvg
on	on	rp@_ii
right	right	rr_nn1_jj
now	now	rt
is	be	vbz
unbelievable	unbelievable	jj
.	.	y
Before	before	cs
we	we	ppis2
had	have	vhd
a	a	at1
situation	situation	nn1
which	which	ddq
still	still	rr
exists	exist	vvz
called	call	vvn_jj%
driving	driving	jj_vvg_nn1@
while	while	cs
black	black	jj_nn1@
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
they	they	pphs2
're	be	vbr
stopped	stop	vvn
more	more	rrr_dar
than	than	csn
Anglos	anglo	nn2@
.	.	y
Now	now	rt
we	we	ppis2
have	have	vh0
a	a	at1
situation	situation	nn1
called	call	vvn
walking	walking	nn1_vvg
while	while	cs
brown	brown	jj_nn1@
.	.	y
Walking	walking	nn1_vvg
while	while	cs
brown	brown	jj_nn1@
,	,	y
you	you	ppy
're	be	vbr
stopped	stop	vvn
because	because	ii21
of	of	ii22
your	your	appge
accent	accent	nn1
,	,	y
the	the	at
color	color	nn1
of	of	io
your	your	appge
skin	skin	nn1
.	.	y
And	and	cc
that	that	dd1
's	be	vbz
wrong	wrong	jj_rr@
.	.	y
We	we	ppis2
're	be	vbr
all	all	db
part	part	nn1
of	of	io
the	the	at
American	american	jj
fabric	fabric	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Even	even	rr
--		zz
are	be	vbr
illegal	illegal	jj
-	-	-
are	be	vbr
people	people	nn
who	who	pnqs
sneak	sneak	vv0
in	in	ii_rp%
here	here	rl
,	,	y
sneak	sneak	vv0
in	in	ii_rp@
--		nn1_jj
violate	violate	vv0_nn1
our	our	appge
laws	law	nn2
to	to	to
get	get	vvi
in	in	rp@
,	,	y
are	be	vbr
they	they	pphs2
part	part	vv0%_nn1_rr%
of	of	io
the	the	at
American	american	jj
fabric	fabric	nn1
?	?	y
@!MORONES		zzq
:	:	y
They	they	pphs2
are	be	vbr
.	.	y
You	you	ppy
know	know	vv0
,	,	y
the	the	at
fact	fact	nn1
that	that	cst_dd1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
this	this	dd1
was	be	vbdz
all	all	rr@_db
-	-	-
you	you	ppy
know	know	vv0
,	,	y
the	the	at
American	american	jj
sins	sin	nn2
of	of	io
the	the	at
past	past	nn1
,	,	y
invading	invade	vvg_jj
Mexico	mexico	np1
,	,	y
taking	take	vvg
territory	territory	nn1
,	,	y
that	that	dd1
's	be	vbz
the	the	at
past	past	nn1_jj
.	.	y
There	there	ex
's	be	vbz
no	no	at
serious	serious	jj
movement	movement	nn1
to	to	to
take	take	vvi
that	that	dd1
back	back	nn1_rp
like	like	ii
these	these	dd2
fear	fear	vv0_nn1
mongers	monger	nn2
like	like	vv0@
to	to	to
say	say	vvi
.	.	y
We	we	ppis2
are	be	vbr
part	part	nn1
of	of	io
the	the	at
American	american	jj
fabric	fabric	nn1
.	.	y
You	you	ppy
saw	see	vvd
.	.	y
O'REILLY	o'reilly	np1
:	:	y
But	but	ccb
then	then	rt
why	why	rrq
are	be	vbr
--		zz
if	if	cs
I	i	ppis1
snuck	sneak	vvd
into	into	ii
Mexico	mexico	np1
tomorrow	tomorrow	rt
,	,	y
all	all	rr21
right	right	rr22
,	,	y
I	i	ppis1
did	do	vdd
n't	n't	xx
go	go	vvi
through	through	ii
the	the	at
border	border	nn1
procedures	procedure	nn2
,	,	y
did	do	vdd
n't	n't	xx
show	show	vvi
them	them	ppho2
my	my	appge
passport	passport	nn1
.	.	y
Say	say	vv0
,	,	y
I	i	ppis1
did	do	vdd
n't	n't	xx
have	have	vhi
a	a	at1
passport	passport	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
snuck	sneak	vvd
in	in	rp@
to	to	ii
Mexico	mexico	np1
,	,	y
would	would	vm
I	i	ppis1
be	be	vbi
part	part	nn1
of	of	io
the	the	at
Mexican	mexican	jj
fabric	fabric	nn1
?	?	y
Would	would	vm
Mexico	mexico	np1
.	.	y
@!MORONES		zzq
:	:	y
If	if	cs
you	you	ppy
're	be	vbr
a	a	at1
convicted	convicted	jj
felon	felon	nn1
,	,	y
you	you	ppy
should	should	vm
be	be	vbi
in	in	ii
jail	jail	nn1
.	.	y
But	but	ccb
there	there	ex
's	be	vbz
about	about	rg
a	a	at1
million	million	m1
Americans	american	nn2
living	live	vvg
in	in	ii
Mexico	mexico	np1
right	right	rr_nn1
now	now	rt
.	.	y
A	a	at1
lot	lot	nn1
of	of	io
them	them	ppho2
are	be	vbr
undocumented	undocumented	jj
,	,	y
but	but	ccb
they	they	pphs2
go	go	vv0
down	down	rp
there	there	rl
to	to	to
retire	retire	vvi
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
different	different	jj
situation	situation	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
so	so	cs@_rr
you	you	ppy
say	say	vv0
.	.	y
@!MORONES		zzq
:	:	y
They	they	pphs2
're	be	vbr
not	not	xx
looking	look	vvg
for	for	if
work	work	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No	no	rrqv31
matter	matter	rrqv32
where	where	rrqv33
you	you	ppy
sneak	sneak	vv0
into	into	ii
,	,	y
if	if	cs
I	i	ppis1
could	could	vm
sneak	sneak	vvi
into	into	ii
Belgium	belgium	np1
or	or	cc
wherever	wherever	rrqv
,	,	y
I	i	ppis1
'd	have	vhd
part	part	nn1
of	of	io
that	that	dd1
country	country	nn1
's	's	ge
so-called	so-called	jj
fabric	fabric	nn1
,	,	y
you	you	ppy
believe	believe	vv0
that	that	dd1
?	?	y
@!MORONES		zzq
:	:	y
When	when	rrq_cs
I	i	ppis1
talk	talk	vv0
about	about	ii
open	open	jj
borders	border	nn2
,	,	y
I	i	ppis1
talk	talk	vv0
about	about	ii
open	open	jj
borders	border	nn2
like	like	ii
Canada	canada	np1
has	have	vhz
open	open	jj
borders	border	nn2
or	or	cc
Europe	europe	np1
.	.	y
Where	where	cs
the	the	at
people	people	nn
come	come	vv0
in	in	rp@
,	,	y
but	but	ccb
you	you	ppy
want	want	vv0
to	to	to
know	know	vvi
who	who	pnqs
they	they	pphs2
are	be	vbr
.	.	y
So	so	rr
they	they	pphs2
have	have	vh0
the	the	at
visas	visa	nn2
for	for	if
these	these	dd2
people	people	nn
.	.	y
They	they	pphs2
have	have	vh0
the	the	at
documentation	documentation	nn1
available	available	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No	no	uh
,	,	y
not	not	xx
everybody	everybody	pn1
who	who	pnqs
wants	want	vvz
to	to	to
get	get	vvi
into	into	ii
Canada	canada	np1
can	can	vm
get	get	vvi
into	into	ii
Canada	canada	np1
.	.	y
It	it	pph1
's	be	vbz
easy	easy	jj
,	,	y
and	and	cc
it	it	pph1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
problems	problem	nn2
that	that	cst
develop	develop	vv0
.	.	y
Now	now	rt
,	,	y
Enrique	enrique	np1
,	,	y
you	you	ppy
're	be	vbr
an	a	at1
American	american	jj
citizen	citizen	nn1
,	,	y
right	right	rr_nn1_jj
?	?	y
@!MORONES		zzq
:	:	y
That	that	dd1
's	be	vbz
right	right	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
.	.	y
So	so	rr
you	you	ppy
and	and	cc
I	i	ppis1
both	both	rr
have	have	vh0
that	that	rg%_dd1
in	in	rr21
common	common	rr22
.	.	y
We	we	ppis2
're	be	vbr
both	both	rr_db2
American	american	jj
citizens	citizen	nn2
.	.	y
Should	should	vm
you	you	ppy
and	and	cc
I	i	ppis1_zz1%
,	,	y
Enrique	enrique	np1
,	,	y
pay	pay	vv0_nn1
for	for	if
the	the	at
medical	medical	jj
bills	bill	nn2
of	of	io
people	people	nn
who	who	pnqs
sneak	sneak	vv0
into	into	ii
our	our	appge
country	country	nn1
?	?	y
Should	should	vm
we	we	ppis2
do	do	vdi
that	that	dd1
?	?	y
@!MORONES		zzq
:	:	y
We	we	ppis2
're	be	vbr
not	not	xx
doing	do	vdg
it	it	pph1
now	now	rt
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Yes	yes	uh
,	,	y
we	we	ppis2
are	be	vbr
.	.	y
In	in	ii
the	the	at
emergency	emergency	nn1
room	room	nn1
.	.	y
@!MORONES		zzq
:	:	y
People	people	nn
that	that	cst
are	be	vbr
here	here	rl
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Come	come	vv0
on	on	rp
,	,	y
Enrique	enrique	np1
.	.	y
You	you	ppy
're	be	vbr
an	a	at1
honest	honest	jj
guy	guy	nn1
.	.	y
@!MORONES		zzq
:	:	y
They	they	pphs2
provide	provide	vv0
a	a	at1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
You	you	ppy
're	be	vbr
an	a	at1
honest	honest	jj
guy	guy	nn1
.	.	y
@!MORONES		zzq
:	:	y
They	they	pphs2
provide	provide	vv0
a	a	at1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
You	you	ppy
're	be	vbr
an	a	at1
honest	honest	jj
guy	guy	nn1
.	.	y
Do	do	vd0
n't	n't	xx
say	say	vvi
we	we	ppis2
're	be	vbr
not	not	xx
doing	do	vdg
it	it	pph1
now	now	rt
when	when	cs_rrq
you	you	ppy
know	know	vv0
every	every	at1
emergency	emergency	nn1
room	room	nn1
is	be	vbz
required	require	vvn
to	to	to
treat	treat	vvi
anybody	anybody	pn1
who	who	pnqs
walks	walk	vvz
in	in	rp@
.	.	y
We	we	ppis2
pay	pay	vv0
for	for	if
that	that	dd1
,	,	y
sir	sir	nn1
.	.	y
@!MORONES		zzq
:	:	y
And	and	cc
hopefully	hopefully	rr
,	,	y
they	they	pphs2
'll	will	vm
continue	continue	vvi
to	to	to
do	do	vdi
that	that	dd1
.	.	y
That	that	dd1
happens	happen	vvz
worldwide	worldwide	rl
.	.	y
The	the	at
thing	thing	nn1
is	be	vbz
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Does	do	vdz
n't	n't	xx
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
It	it	pph1
does	do	vdz
n't	n't	xx
happened	happen	vvn@
worldwide	worldwide	rl
.	.	y
@!MORONES		zzq
:	:	y
Most	most	dat
countries	country	nn2
do	do	vd0
that	that	dd1
type	type	nn1
of	of	io
a	a	at1
situation	situation	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No	no	uh
,	,	y
they	they	pphs2
don't.	don't	nnu
@!MORONES		zzq
:	:	y
Most	most	dat
countries	country	nn2
.	.	y
That	that	dd1
's	be	vbz
not	not	xx
so	so	rg_rr
unique	unique	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No.	no	zz
@!MORONES		zzq
:	:	y
No	no	uh
,	,	y
they	they	pphs2
do	do	vd0
.	.	y
O'REILLY	o'reilly	np1
:	:	y
.	.	y
if	if	csw@_cs
you	you	ppy
walk	walk	vv0
into	into	ii
a	a	at1
hospital	hospital	nn1
in	in	ii
Pakistan	pakistan	np1
,	,	y
and	and	cc
you	you	ppy
're	be	vbr
not	not	xx
a	a	at1
Muslim	muslim	jj_nn1@
,	,	y
you	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
get	get	vvi
kicked	kick	vvn_vvd_jj%
right	right	rr_nn1
on	on	rp@_ii
out	out	ii21
of	of	ii22
there	there	rl
.	.	y
OK	ok	rr
?	?	y
@!MORONES		zzq
:	:	y
There	there	ex
's	be	vbz
exceptions	exception	nn2
.	.	y
But	but	ccb
most	most	dat
countries	country	nn2
,	,	y
there	there	ex
's	be	vbz
220	220	mc
countries	country	nn2
in	in	ii
the	the	at
world	world	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
.	.	y
@!MORONES		zzq
:	:	y
I	i	ppis1
would	would	vm
say	say	vvi
190	190	mc
of	of	io
them	them	ppho2
go	go	vv0
ahead	ahead	rl
and	and	cc
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Let	let	vv0
me	me	ppio1
break	break	nn1
this	this	dd1
to	to	ii
you	you	ppy
gently	gently	rr
.	.	y
@!MORONES		zzq
:	:	y
.	.	y
Canada	canada	np1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
If	if	cs
you	you	ppy
sneak	sneak	vv0
into	into	ii
any	any	dd
totalitarian	totalitarian	jj
country	country	nn1
,	,	y
any	any	dd
African	african	jj
country	country	nn1
,	,	y
and	and	cc
they	they	pphs2
catch	catch	vv0
you	you	ppy
,	,	y
you	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
jail	jail	vvi
.	.	y
You	you	ppy
're	be	vbr
not	not	xx
going	go	vvg
to	to	ii
the	the	at
emergency	emergency	nn1
room	room	nn1
.	.	y
They	they	pphs2
're	be	vbr
much	much	rr
harsher	harsh	jjr
in	in	ii
their	their	appge
treatment	treatment	nn1
.	.	y
But	but	ccb
.	.	y
@!MORONES		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
want	want	vvi
to	to	to
.	.	y
O'REILLY	o'reilly	np1
:	:	y
.	.	y
I	i	ppis1
want	want	vv0
to	to	to
get	get	vvi
back	back	rp
to	to	ii
the	the	at
original	original	jj
thing	thing	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
buddies	buddy	nn2
,	,	y
all	all	rr21
right	right	rr22
,	,	y
compadres.	compadres	nnu
@!MORONES		zzq
:	:	y
Well	well	rr
,	,	y
I	i	ppis1
do	do	vd0
n't	n't	xx
know	know	vvi
about	about	ii
that	that	dd1
,	,	y
but	but	ccb
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
come	come	vv0
on	on	rp@_ii
now	now	rt
,	,	y
Enrique	enrique	np1
,	,	y
be	be	vbi
humane	humane	jj
.	.	y
@!MORONES		zzq
:	:	y
I	i	ppis1
'm	be	vbm
humane	humane	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
You	you	ppy
and	and	cc
I	i	ppis1_zz1%
,	,	y
we	we	ppis2
are	be	vbr
responsible	responsible	jj
for	for	if
paying	pay	vvg_jj@
people	people	nn
's	's	ge
medical	medical	jj
bills	bill	nn2
who	who	pnqs
sneak	sneak	vv0
into	into	ii
the	the	at
United	united	np1
States	state	np1
.	.	y
Do	do	vd0
n't	n't	xx
have	have	vhi
to	to	to
be	be	vbi
Mexican	mexican	jj
.	.	y
They	they	pphs2
can	can	vm
be	be	vbi
from	from	ii
any	any	dd
country	country	nn1
.	.	y
You	you	ppy
and	and	cc
I.	i	np1
@!MORONES		zzq
:	:	y
But	but	ccb
that	that	dd1
's	be	vbz
a	a	at1
false	false	jj
premise	premise	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Why	why	rrq
?	?	y
@!MORONES		zzq
:	:	y
When	when	rrq
was	be	vbdz
the	the	at
last	last	md
time	time	nnt1
you	you	ppy
saw	see	vvd
a	a	at1
Latino	latino	nn1
on	on	ii
the	the	at
corner	corner	nn1
with	with	iw
a	a	at1
sign	sign	nn1
that	that	cst_dd1
says	say	vvz
will	will	vm
work	work	vvi
for	for	if
food	food	nn1
?	?	y
Never	never	rr
.	.	y
You	you	ppy
'll	will	vm
see	see	vvi
10	10	mc
of	of	io
them	them	ppho2
at	at	ii
the	the	at
Home	home	nn1
Depot	depot	nn1
ready	ready	jj_rr@
to	to	to
jump	jump	vvi
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Enrique	enrique	np1
.	.	y
@!MORONES		zzq
:	:	y
.	.	y
in	in	ii_rp@
a	a	at1
car	car	nn1
to	to	to
go	go	vvi
to	to	ii
work	work	nn1
.	.	y
They	they	pphs2
're	be	vbr
not	not	xx
here	here	rl
for	for	if
the	the	at
benefits	benefit	nn2
.	.	y
They	they	pphs2
're	be	vbr
here	here	rl
to	to	to@_ii
work	work	vvi_nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Every	every	at1
hospital	hospital	nn1
in	in	ii
every	every	at1
border	border	nn1
state	state	nn1
says	say	vvz
the	the	at
same	same	da
thing	thing	nn1
.	.	y
Overwhelmed	overwhelm	vvn
by	by	ii
people	people	nn
.	.	y
@!MORONES		zzq
:	:	y
Yes	yes	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
.	.	y
with	with	iw
no	no	at
medical	medical	jj
-	-	-
OK	ok	rr
.	.	y
So	so	rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
